name,affil,last
Alicia Aarnio,University of Colorado Boulder / UNCG,Aarnio
Ellianna Schwab Abrahams,"University of California, Berkeley",Abrahams
Elisabeth Adams,Planetary Science Institute,Adams
Christian Aganze,UC San Diego,Aganze
Ilse Aguilar,Universidad de Guanajuato,Aguilar
Claudia Aguilera-Gómez,Universidad Andrés Bello,Aguilera-Gómez
Marcel Agüeros,Columbia University,Agüeros
Mufid Alfaris,UMass Amherst,Alfaris
France Allard,Centre de Recherche Astrophysique de Lyon,Allard
Julián Alvarado-Gómez,Center for Astrophysics Harvard & Smithsonian,Alvarado-Gómez
Louis Amard,University of Exeter,Amard
Eliana M. Amazo-Gómez,Max-Planck-Institut für Sonnensystemforschung,Amazo-Gómez
Ruth Angus,Columbia University,Angus
Costanza Argiroffi,"DiFC, University of Palermo",Argiroffi
Joseph Armstrong,Keele University,Armstrong
Nicole Arulanantham,University of Colorado Boulder,Arulanantham
Ruben Asensio-Torres,STOCKHOLM UNIVERSITY,Asensio-Torres
Amanda Ash,University of North Georgia,Ash
Thomas Ayres,University of Colorado CASA,Ayres
Victor  J. S. Bejar,Instituto de Astrofisica de Canarias IAC,B\'ejar
Sarah Ballard,MIT,Ballard
Sydney Barnes,Leibniz Institute for Astrophysics AIP,Barnes
Frédérique Baron,University of Montreal,Baron
Gibor Basri,UC Berkeley,Basri
Fabienne Bastien,Pennsylvania State University,Bastien
Sarbani Basu,Yale University,Basu
Paul Beck,Instituto de Astrofisica de Canarias,Beck
Megan Bedell,Flatiron Institute,Bedell
Charles Beichman,NASA Exoplanet Science Institute,Beichman
Gerard van Belle,Lowell Observatory,Belle
Earl Patrick Bellinger,Max Planck for Solar System Research - Yale,Bellinger
Mansour Benbakoura,CEA Saclay,Benbakoura
Philip Bennett,Dalhousie University,Bennett
Svetlana Berdyugina,Leibniz-KIS,Berdyugina
Travis Berger,"Institute for Astronomy, University of Hawaii at Manoa",Berger
Zach Berta-Thompson,University of Colorado,Berta-Thompson
Jacob Bertrand,MCCC,Bertrand
Thomas Best,Retired,Best
Will Best,University of Hawaii,Best
Herve Beust,"CNRS, IPAG",Beust
Connor Bice,"JILA, University of Colorado",Bice
Allyson Bieryla,Harvard-Smithsonian Center for Astrophysics,Bieryla
Beth Biller,Royal Observatory Edinburgh,Biller
Jayne Birkby,University of Amsterdam,Birkby
Devendra Bisht,University of Science and Technology of China,Bisht
Gary Blackwood,NASA/JPL,Blackwood
Cullen Blake,University of Pennsylvania,Blake
John Bochanski,Rider University,Bochanski
Eva Bodman,Arizona State University,Bodman
Mariangela Bonavita,Institute for Astronomy - University of Edinburgh,Bonavita
Mickal Bonnefoy,IPAG-CNRS,Bonnefoy
Jay Bookbinder,NASA-ARC,Bookbinder
Rachel Booth,Queens University Belfast,Booth
Madeline Boyce,UMass Amherst,Boyce
Angela Bragaglia,INAF-OAS Bologna,Bragaglia
Roman Brajša,"Hvar Observatory, Faculty of Geodesy, University of Zagreb",Brajša
Axel Brandenburg,University of Colorado & Nordita,Brandenburg
Luca Bravi,Università di Firenze & INAF,Bravi
Angela Breimann,University of Exeter,Breimann
John M Brewer,Yale University,Brewer
Nancy Brickhouse,Harvard-Smithsonian Center for Astrophysics,Brickhouse
Benjamin Brown,"CASA, University of Colorado",Brown
Timothy Brown,Las Cumbres Observatory,Brown
Alexander Brown,University of Colorado,Brown
Matthew Browning,University of Exeter,Browning
Allan Sacha Brun,"AIM/Dept. Astrophysics, CEA Paris-Saclay",Brun
Adam Burgasser,UC San Diego,Burgasser
Derek Buzasi,Florida Gulf Coast University,Buzasi
Nahuel Cabral,"Institut UTINAM (Besançon, FRANCE)",Cabral
Per Calissendorff,Stockholm University,Calissendorff
Nuria Calvet,University of Michigan,Calvet
Joleen Carlberg,STScI,Carlberg
Theron Carmichael,Harvard University,Carmichael
Kenneth Carpenter,NASA Goddard Space Flight Center,Carpenter
Bradley Carter,University of Southern Queensland,Carter
Laia Casamiquela,Laboratoire dAstrophysique de Bordeaux,Casamiquela
Gianna Cauzzi,INAF / NSO,Cauzzi
Heather Cegla,University of Geneva,Cegla
Seo-Won Chang,Australian National University,Chang
David Charbonneau,Harvard-Smithsonian Center for Astrophysics,Charbonneau
Priyanka Chaturvedi,Thuringer Landessternwarte Tautenburg,Chaturvedi
